reads.in	reads.out
SRR12672861_1.fastq.gz	224569	198261
SRR12672862_1.fastq.gz	113449	97279
SRR12672863_1.fastq.gz	201095	174575
SRR12672864_1.fastq.gz	259000	226188
SRR12672865_1.fastq.gz	206446	182065
SRR12672866_1.fastq.gz	196067	169813
SRR12672868_1.fastq.gz	263496	231359
SRR12672869_1.fastq.gz	175253	160853
SRR12672870_1.fastq.gz	171333	146177
SRR12672871_1.fastq.gz	244220	202912
SRR12672872_1.fastq.gz	148694	118328
SRR12672873_1.fastq.gz	312942	271532
SRR12672874_1.fastq.gz	235365	192541
SRR12672875_1.fastq.gz	232579	191937
SRR12672876_1.fastq.gz	230126	185977
SRR12672877_1.fastq.gz	210798	166572
SRR12672879_1.fastq.gz	256826	201772
SRR12672880_1.fastq.gz	237624	169691
SRR12672881_1.fastq.gz	201879	150842
SRR12672882_1.fastq.gz	173677	127456
SRR12672883_1.fastq.gz	240441	202605
SRR12672884_1.fastq.gz	200244	156517
SRR12672885_1.fastq.gz	190506	143014
SRR12672886_1.fastq.gz	168042	124909
SRR12672887_1.fastq.gz	217446	175049
SRR12672888_1.fastq.gz	165041	136408
SRR12672890_1.fastq.gz	175112	148534
SRR12672891_1.fastq.gz	265544	236446
SRR12672892_1.fastq.gz	68433	58701
SRR12672893_1.fastq.gz	59917	50709
SRR12672894_1.fastq.gz	52785	43602
SRR12672895_1.fastq.gz	63934	54050
SRR12672896_1.fastq.gz	94553	80688
SRR12672897_1.fastq.gz	34999	30939
SRR12672898_1.fastq.gz	31815	27633
SRR12672899_1.fastq.gz	55482	47576
SRR12672901_1.fastq.gz	55667	49476
SRR12672902_1.fastq.gz	78512	69787
SRR12672903_1.fastq.gz	95554	85033
SRR12672904_1.fastq.gz	179677	161612
SRR12672905_1.fastq.gz	48201	43922
SRR12672906_1.fastq.gz	241178	215722
SRR12672907_1.fastq.gz	48051	43064
SRR12672908_1.fastq.gz	218341	193314
SRR12672909_1.fastq.gz	319623	274918
SRR12672910_1.fastq.gz	128711	112957
SRR12672913_1.fastq.gz	104618	94064
SRR12672914_1.fastq.gz	104521	89193
SRR12672915_1.fastq.gz	78368	69208
SRR12672916_1.fastq.gz	871751	746203
SRR12672917_1.fastq.gz	214294	184642
SRR12672918_1.fastq.gz	289837	262327
SRR12672919_1.fastq.gz	382218	341683
SRR12672920_1.fastq.gz	111269	96034
SRR12672921_1.fastq.gz	183472	166264
SRR12672922_1.fastq.gz	43582	38967
SRR12672924_1.fastq.gz	115199	103958
SRR12672925_1.fastq.gz	54937	47524
SRR12672926_1.fastq.gz	17179	15258
SRR12672927_1.fastq.gz	142575	124188
SRR12672928_1.fastq.gz	29995	25656
SRR12672929_1.fastq.gz	49967	42309
SRR12672930_1.fastq.gz	160461	136268
SRR12672931_1.fastq.gz	67730	56582
SRR12672932_1.fastq.gz	170778	143266
SRR12672933_1.fastq.gz	72829	61451
SRR12672935_1.fastq.gz	240417	191244
SRR12672936_1.fastq.gz	35928	30801
SRR12672937_1.fastq.gz	260434	212384
SRR12672938_1.fastq.gz	31086	25746
SRR12672939_1.fastq.gz	72195	62376
SRR12672940_1.fastq.gz	133192	108365
SRR12672941_1.fastq.gz	122212	104156
SRR12672942_1.fastq.gz	255886	208717
SRR12672943_1.fastq.gz	124088	107740
SRR12672944_1.fastq.gz	60236	52348
SRR12672946_1.fastq.gz	84666	71981
SRR12672947_1.fastq.gz	65626	54960
SRR12672948_1.fastq.gz	144577	112403
SRR12672949_1.fastq.gz	82896	68714
SRR12672950_1.fastq.gz	140012	120534
SRR12672951_1.fastq.gz	105542	86959
SRR12672952_1.fastq.gz	61118	54024
SRR12672953_1.fastq.gz	120715	107699
SRR12672954_1.fastq.gz	73415	65325
SRR12672955_1.fastq.gz	219786	198005
SRR12672957_1.fastq.gz	109692	99408
SRR12672958_1.fastq.gz	58129	49412
SRR12672959_1.fastq.gz	61801	57780
SRR12672960_1.fastq.gz	57224	53186
SRR12672961_1.fastq.gz	153358	139021
SRR12672962_1.fastq.gz	264514	228982
SRR12672963_1.fastq.gz	76809	70469
SRR12672964_1.fastq.gz	118204	105729
SRR12672965_1.fastq.gz	143681	127452
SRR12672966_1.fastq.gz	164071	149131
SRR12672968_1.fastq.gz	327052	295121
SRR12672969_1.fastq.gz	158547	145042
SRR12672970_1.fastq.gz	282175	259497
SRR12672971_1.fastq.gz	232216	215025
SRR12672972_1.fastq.gz	195290	175965
SRR12672973_1.fastq.gz	237738	204493
SRR12672974_1.fastq.gz	233838	209163
SRR12672975_1.fastq.gz	275606	245415
SRR12672976_1.fastq.gz	400855	360475
SRR12672977_1.fastq.gz	404927	369564
SRR12672979_1.fastq.gz	377348	339374
SRR12672980_1.fastq.gz	174477	158800
SRR12672981_1.fastq.gz	259356	239204
SRR12672982_1.fastq.gz	120371	105517
SRR12672983_1.fastq.gz	489223	425759
SRR12672984_1.fastq.gz	93137	81517
SRR12672985_1.fastq.gz	71621	62445
SRR12672986_1.fastq.gz	145739	128113
SRR12672987_1.fastq.gz	243606	209629
SRR12672988_1.fastq.gz	148198	126040
SRR12672990_1.fastq.gz	83238	67822
SRR12672991_1.fastq.gz	73672	61334
SRR12672992_1.fastq.gz	89078	71030
SRR12672993_1.fastq.gz	52764	43628
SRR12672994_1.fastq.gz	35937	29165
SRR12672995_1.fastq.gz	107971	89274
SRR12672996_1.fastq.gz	221130	184348
